sent1,sent2,lemma,ground_truth
"In his great and glorious wisdom , he knew that our enemies the Israelites must not be able to read therein what we planned '' .","For all her domineering ways , I can n't conceive of her having had a deadly enemy '' .",enemy,T
American policy toward such societies should stress our sympathy for the emerging social and professional classes .,In there are n't many young people in the neighborhood the modifier young takes dominant stress away from its head people : the fact that the young creatures of interest are people seems rather obvious .,stress,F
But at least it 's reassuring to see some teenagers who do n't profess to know all the answers and are thinking about their problems instead .,"As a theologian in the group pointed out , a professional was , before the modern period of technical specialization , one who `` professed '' to be a bearer and critic of his culture in the use of his particular skills .",profess,F
"He looked at her out of himself , she thought , as he did only for an instant at a time , the look which always surprised her even now when his uncombable hair was yellowing a little and his breath came hard through his nicotine choked lungs , the look of the gaunt youth she had suddenly found herself staring at in the Tate Gallery on a Thursday once .","His addle-brained knight-errant , self appointed to the ridiculous position in an age when armor had already been relegated to museums and the chivalrous code of knight-errantry had become a joke , is , as Cervantes no doubt intended , a gaunt but gracious symbol of good , moving soberly and sincerely in a world of cynics , hypocrites and rogues .",gaunt,T
"My memory has catalogued for easy reference and withdrawal the image of her pink , scented stationery and the unsloped , almost printed configurations of her neat , studious handwriting with which she invited me to recall our summer , so many sentences beginning with `` Remember when '' ; and others concerning camp friends who resided in her suburban neighborhood , and news of her commencing again her piano lessons , her private school , a visit to Boston to see her grandparents and an uncle who was a surgeon returned on furlough , wounded , from the war in Europe .","Well , after everybody has followed the New England pattern of segregating one 's children into private schools , only the poor folks are left .",private_school,T
The BOD of the influent to the pilot plant varied between 110 and 710 mg / l with an average of 350 mg / l .,The oxygen uptake rate in the mixed liquor averaged 0.8 mg / l / hr during the first four months of this study .,mg,T
He clamped his jaws to keep the fury from spilling out .,"Horse smell was very strong , and he could hear the crunch of grain being ground between strong jaws .",jaw,F
"However , a major factor in binding dirt is the attraction between surfaces that goes under the name of van der Waal 's forces .","Even so , he could not ease the tension of his body ; the rough surface of the earth itself seemed to resist every attempt on his part to relax .",surface,T
"When B ' dikkat cut the head from Mercer 's thigh , he felt the knife grinding against the cartilage which held the head to his own body .","Once the grains are ground , vitamin E begins to deteriorate immediately and half of it is lost by oxidation and exposure to the air within one week .",grind,F
I heard Pa cursing all the way downstairs .,"The husky 6 - 3 , 205 - pound lefthander , was in command all the way before an on the scene audience of only 949 and countless of television viewers in the Denver area .",all_the_way,F
And his relatively small hands and feet gave him an almost delicate appearance .,"The anaconda proves to be the fly in the ointment , but the reason for this is not clear ; the relatively wild conditions still found in tropical South America might be responsible .",relatively,T
"As you know , a conditioner makes indoor air cool by pumping the heat out of it and then releasing this heat outdoors .","I have calculated that if I could snap my fingers in one magic gesture to release the power of all the hydrogen in my body , I would explode with the force of a hundred bombs of the kind that fell on Hiroshima .",release,F
"General manager Pels even suggested that it might be wise to keep the Mexicans in suspense rather than accept their offers to sell out and move away , and try to have a few punished .",And now Andrei sat on a train on the way to Lublin and wondered if he was not being punished for his lack of belief .,punish,T
Would a camera club be useful in taking pictures pertinent to plant safety ?,"Even if gymnastics are not the ultimate goal , the good tumbler will be a better dancer , a better athlete , and a human being with a greater margin of safety in any activity .",safety,F
( The first Metropolitan Opera broadcast on Dec. 9 will introduce her as Lucia . ),"The information is furnished by each of the guests , is sent by oral broadcasting over the air waves , and is received by the ears .",broadcast,T
"For discouragement , or the temptation to abandon our efforts , `` would show that one placed excessive trust in purely human means without thinking of the omnipotence of God , the irresistible efficacy of prayer , the action of Christ or the power of the Divine Spirit '' .","Once he had abandoned himself to the very worst , once he had quieted all the dragons of worry and suspense , there would n't be very much for Mae to do .",abandon,T
"The chromatography was done at 6 ` C using gradient elution , essentially according to Sober and Peterson .","A 208 - pound , 6 - foot 1 - inch senior from Stamford , Moritz practices nothing but place-kicking .",6,F
"He was crouched over his anvil in the courtyard getting his chisels into trim , when a splinter of steel flew into his eye and imbedded itself in his pupil .","Argiento made him lie down on the bed , brought a pan of hot water , dipped some clean white linen cloth and applied it to extract the splinter .",splinter,T
Perhaps a clue to these and related problems lies in the fact that changes in the intensity of hypothalamic discharges which are associated with changes in its balance lead also to qualitative alterations in reactivity .,Some clue to the character of London 's approach in these discs may be gained immediately from the fact that ten of the 12 titles include the word `` percussion '' or `` percussive '' .,clue,T
This is much higher than the nickel content of terrestrial dusts and sediments and provides a basis for the determination of the meteoritic mass influx .,"There is evidence , though less convincing than for **f , that the **f bond in nickel dimethylglyoxime is symmetric .",nickel,T
"It is also possible to utilize a pressure transducer , mounted at the end of a catheter which is inserted into the heart 's left ventricle , to indicate the blood pressure in the heart itself .",It uses both an ultrasonic dimensioning arrangement of the heart and a catheter carrying a thermistor inserted into the bloodstream .,catheter,T
"He saw them ambushed , strewn in the postures of the broken and the dying .","There was Wright 's , for one , lost amongst trees , its wide verandas strewn with rockers .",strew,F
"The penalty for this is noticeable in the big , bold , brilliant , but brassy piano sounds in Melody and Percussion for Two Pianos ( SP 44007 ) .","Procreation , expansion , proliferation - these are the laws of living things , with the penalty for not obeying them the ultimate in punishments : oblivion .",penalty,F
"And if it was not an individual who was in the dock , why was the Trial , as we shall observe later , all but scuttled in the attempt to prove Eichmann a `` fiend '' ?","We must avoid the notion , suggested to some people by examples such as those just mentioned , that ideas are `` units '' in some way comparable to coins or counters that can be passed intact from one group of people to another or even , for that matter , from one individual to another .",individual,F
These cut-down plants will bud and blossom in record time and will behave just as they did in early spring .,"And it is thought by many who think about such things that Quasimodo is the logical culmination of a school that started with Monet , progressed through Kandinsky and the cubist Picasso , and blossomed just recently in Pollock and De Kooning .",blossom,F
This is an enormous industry that is subject to sabotage .,"`` I 've seen you , though , before '' , she said with enormous coyness , patting his knee .",enormous,F
