,sent1,sent2,lemma,ground_truth
0,You must carry your camping gear .,Sound carries well over water .,carry,F
1,Messages must go through diplomatic channels .,Do you think the sofa will go through the door ?,go,F
2,Break an alibi .,The wholesaler broke the container loads into palettes and boxes for local retailers .,break,F
3,He wore a jock strap with a metal cup .,Bees filled the waxen cups with honey .,cup,T
4,The Academy of Music .,The French Academy .,academy,F
5,Set the table .,To set glass in a sash .,set,F
6,Starch clothes .,She starched her blouses .,starch,T
7,Do you take sugar in your coffee ?,A reading was taken of the earth 's tremors .,take,F
8,I try to avoid the company of gamblers .,We avoided the ball .,avoid,T
9,"He got clearance to travel to America , even though he had previous links to terrorists .","The plane got clearance from air traffic control , and we were off .",clearance,T
10,Come out of the closet !,He came singing down the road .,come,T
11,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil .",The dictionary 's coverage of standard English is excellent .,coverage,T
12,Her death came as a terrible shock .,He had two deaths on his conscience .,death,F
13,The despite in which outsiders were held is legendary .,She wanted neither favor nor despite .,despite,F
14,A school of small glittering fish swam by .,The divers encountered a huge school of mackerel .,school,T
15,We should go farther in this matter .,She went through a lot of trouble .,go,T
16,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .,Recent federal action undermined the segregationist position .,action,T
17,Fall by the wayside .,The cities fell to the enemy .,fall,F
18,This dough does not work easily .,Work the phones .,work,F
19,The armies met in the shock of battle .,The train hit the buffers with a great shock .,shock,F
20,This speech did n't play well with the American public .,Play football .,play,F
21,What do you make of his remarks ?,Make a dress .,make,F
22,The so-called glorious experiment came to an inglorious end .,The end was exciting .,end,F
23,There was a break in the action when a player was hurt .,He was up two breaks in the second set .,break,F
24,It was a heavy play and the actors tried in vain to give life to it .,The life of this milk carton may be thousands of years in this landfill .,life,F
25,There was too much for one person to do .,"Each person is unique , both mentally and physically .",person,T
26,Answer the door .,She answered the door .,answer,T
27,All you ever do is surf the Internet .,A ' B ' grade does n't suffice to get me into medical school .,do,F
28,Play fair .,Play football .,play,F
29,What message do you see in this letter ?,We had to see a psychiatrist .,see,F
30,To strip to the buff .,Swimming in the buff .,buff,T
31,She made the boy brush his teeth every night .,Most soldiers are only boys in uniform .,boy,T
32,She was the picture of despair .,The very picture of a modern general .,picture,T
33,She did n't want to answer .,This may answer her needs .,answer,F
34,Tickets are $ 5 per head .,He is two heads taller than his little sister .,head,F
35,Break into tears .,"If the vase falls to the floor , it might break .",break,F
36,To die to pleasure or to sin .,She died from cancer .,die,T
37,The stock market reached a peak in September 1929 .,Voltage peak .,peak,T
38,A hermit does n't much care for civilization .,Early Mayan civilization .,civilization,T
39,These bonds carry warrants .,She carries her ideas to the extreme .,carry,F
40,He wanted a shot at the champion .,I caught him with a solid shot to the chin .,shot,F
41,The body of the car was badly rusted .,"Penny was in the scullery , pressing the body of her new dress .",body,F
42,Cut a ticket .,Cut orders .,cut,T
43,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .,Give her recognition for trying .,recognition,F
44,You have to shift when you go down a steep hill .,He shifted in his seat .,shift,F
45,A stock cube .,A sugar cube .,cube,T
46,Let 's follow our great helmsman !,He followed his lecture with a question and answer period .,follow,F
47,I apply this rule to get good results .,Apply a magnetic field here .,apply,T
48,Fall asleep .,She fell ill .,fall,T
49,She may not make the grade .,Make a stir .,make,F
50,Under the head of minor Roman poets .,They tracked him back toward the head of the stream .,head,F
51,A reduction in the assessment per head of sheep .,200 head of cattle and 50 head of horses .,head,T
52,Give a divorce .,The wall gave in .,give,F
53,To drive sheep out of a field .,Drive the cows into the barn .,drive,T
54,Fall by the wayside .,To fall a tree .,fall,F
55,He ′s always stuffing his gob with fast food .,She 's got such a gob on her – she′s always gossiping about someone or other .,gob,T
56,The scale of the map .,The scale of the model .,scale,T
57,We had to stand for the entire performance !,On the pedestal stood a statue .,stand,T
58,She may not make the grade .,He made twenty bucks playing poker last night .,make,F
59,The woman does not even have one stick of furniture moved in yet .,There was only one piece of furniture in the room .,furniture,T
60,Give a yelp .,This student gives promise of real creativity .,give,F
61,Cut a movie scene .,Cut a Ping-Pong ball .,cut,F
62,Most BASIC files use the filename extension .BAS .,A text file will have a file extension of .txt .,extension,T
63,He was elected to a seat in the Senate .,He dusted off the seat before sitting down .,seat,F
64,Make enemies .,What do you make of his remarks ?,make,F
65,We should make Cincinnati by 7 tonight .,Make the bed .,make,F
66,Do you take me for a fool ?,"Looking at him as he came into the room , I took him for his father .",take,T
67,Tea has fragrant white flowers .,Iced tea is a cooling drink .,tea,F
68,Take sick .,I estimate the trip will take about ten minutes .,take,F
69,Do you know the way to the airport ?,He said he was looking for the way out .,way,T
70,The head of the compass needle is pointing due north .,200 head of cattle .,head,F
71,Lift the box onto the table .,I lifted the books .,lift,T
72,The astronauts walked in outer space without a tether .,The space between his teeth .,space,F
73,What was your score on your homework ?,The score was 7 to 0 .,score,F
74,How does your idea work in practice ?,The voting process does n't work as well as people thought .,work,T
75,He could be Gingrich 's double .,Saddam Hussein was rumored to have many doubles .,double,T
76,The space between his teeth .,The architect left space in front of the building .,space,T
77,"Fix breakfast for the guests , please .",That 'll fix him good !,fix,F
78,Matters came to a head yesterday .,The head of the column advanced boldly .,head,F
79,He bet $ 2 on number six to show .,I showed the customer the glove section .,show,F
80,I take it you 're not going ?,He was often taken to be a man of means .,take,T
81,The employer wants to cut back health benefits .,Cut trenches .,cut,F
82,A roller cot ( the clothing of a drawing roller in a spinning frame ) .,A cot for a sore finger .,cot,T
83,These dyes and colors are guaranteed not to run .,The sale will run for ten days .,run,F
84,Now I see !,I want to see whether she speaks French .,see,F
85,Drive the cows into the barn .,Their debts finally drove them to sell the business .,drive,F
86,A bit of lint .,The horse was not accustomed to a bit .,bit,F
87,Stir the soil .,Stir emotions .,stir,F
88,This trombone is very expensive .,Jim plays the trombone very well .,trombone,T
89,To fall a tree .,Night fell .,fall,T
90,Trace your path .,Trace the outline of a figure in the sand .,trace,F
91,Take a pulse .,A reading was taken of the earth 's tremors .,take,T
92,I will carry the secret to my grave .,I carry a lot of life insurance .,carry,T
93,"Penny was in the scullery , pressing the body of her new dress .",Heavenly body .,body,F
94,I hold with those who say life is sacred .,Hold all calls to the President 's office while he is in a meeting .,hold,F
95,Build a reputation .,Build detergents .,build,F
96,Smooth the way towards peace negotiations .,Smooth the surface of the wood .,smooth,F
97,We carry a very large mortgage .,The troops carried the town after a brief fight .,carry,F
98,The war against crime .,"The "" war on terror "" is a campaign against terrorist crime .",war,T
99,Please reply to my letter .,He replied that he was not sure .,reply,T
100,The children were playing house .,She felt she had to get out of the house .,house,F
101,What position does he play ?,Stop running all over the field and play your position !,position,T
102,Play sports .,Who 's playing now ?,play,T
103,The circus will be in town next week .,He ran away from home to join the circus .,circus,T
104,Break a law .,Her voice broke to a whisper when she started to talk about her children .,break,F
105,There was a certain woodenness in his replies .,He criticized the woodenness of the acting .,woodenness,T
106,Thanks to that quack I am a human wreck .,The house was a wreck when they bought it .,wreck,T
107,Catch the mood .,Do n't catch your meaning .,catch,F
108,Renewed jitters in the wake of a blip in retail sales .,The market had one bad blip today .,blip,T
109,The fields vegetate vigorously .,The bacterial growth vegetated along .,vegetate,F
110,Peeling potatoes is a drag .,He took a drag on his cigarette and expelled the smoke slowly .,drag,F
111,He tried to blame the victim but his success on that score was doubtful .,Settling a score .,score,F
112,She gave great head .,They tracked him back toward the head of the stream .,head,F
